player,nation,position,age,nineties,shot_creating_actions,shot_creating_actions_per90,sca_pass_live,sca_pass_dead,sca_take_ons,sca_shots,sca_fouls_drawn,sca_def_actions,goal_creating_actions,goal_creating_actions_per90,gca_pass_live,gca_pass_dead,gca_take_ons,gca_shots,gca_fouls_drawn,gca_def_actions,season
Vicente Taborda,ARG,MF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Sergio Romero,ARG,GK,35.0,46.3,2.0,0.04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Jorge Figal,ARG,DF,28.0,40.5,27.0,0.68,19.0,1.0,4.0,3.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,2023
Guillermo Matías Fernández,ARG,MF,31.0,37.8,92.0,2.5,74.0,14.0,3.0,0.0,1.0,0.0,6.0,0.16,5.0,1.0,0.0,0.0,0.0,0.0,2023
Cristian Medina,ARG,"MF,FW",20.0,33.3,85.0,2.63,72.0,0.0,8.0,2.0,1.0,2.0,6.0,0.19,5.0,0.0,1.0,0.0,0.0,0.0,2023
Luis Advíncula,PER,"DF,FW",32.0,32.8,63.0,1.98,48.0,4.0,7.0,0.0,2.0,2.0,10.0,0.31,8.0,0.0,1.0,0.0,1.0,0.0,2023
Frank Fabra,COL,DF,31.0,29.6,73.0,2.49,58.0,3.0,5.0,3.0,2.0,2.0,4.0,0.14,2.0,0.0,2.0,0.0,0.0,0.0,2023
Miguel Merentiel,URU,FW,26.0,27.0,51.0,1.89,37.0,0.0,5.0,5.0,4.0,0.0,9.0,0.33,5.0,0.0,3.0,0.0,1.0,0.0,2023
Alan Varela,ARG,MF,21.0,26.3,51.0,1.94,40.0,2.0,3.0,4.0,0.0,2.0,5.0,0.19,5.0,0.0,0.0,0.0,0.0,0.0,2023
Nicolás Valentini,ARG,DF,21.0,25.7,9.0,0.36,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Bruno Valdez,PAR,"DF,FW",30.0,25.5,6.0,0.24,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Ezequiél Fernández,ARG,MF,20.0,25.2,54.0,2.2,45.0,1.0,1.0,1.0,4.0,2.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,2023
Marcelo Weigandt,ARG,DF,23.0,24.4,33.0,1.39,31.0,0.0,1.0,1.0,0.0,0.0,7.0,0.3,7.0,0.0,0.0,0.0,0.0,0.0,2023
Valentín Barco,ARG,"MF,DF",18.0,22.9,78.0,3.45,45.0,19.0,7.0,2.0,5.0,0.0,9.0,0.4,6.0,2.0,1.0,0.0,0.0,0.0,2023
Darío Benedetto,ARG,FW,32.0,19.2,33.0,1.78,28.0,0.0,2.0,0.0,2.0,1.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0,2023
Sebastián Villa,COL,"FW,MF",26.0,18.9,85.0,4.5,47.0,19.0,5.0,2.0,11.0,1.0,9.0,0.48,6.0,2.0,1.0,0.0,0.0,0.0,2023
Facundo Roncaglia,ARG,DF,35.0,15.7,13.0,0.83,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Óscar Romero,PAR,"FW,MF",30.0,13.6,68.0,4.99,44.0,14.0,3.0,4.0,3.0,0.0,6.0,0.44,5.0,1.0,0.0,0.0,0.0,0.0,2023
Edinson Cavani,URU,FW,35.0,12.6,22.0,1.84,18.0,0.0,0.0,2.0,2.0,0.0,2.0,0.17,1.0,0.0,0.0,1.0,0.0,0.0,2023
Marcelo Saracchi,URU,DF,24.0,11.6,24.0,2.22,22.0,1.0,0.0,1.0,0.0,0.0,4.0,0.37,3.0,0.0,0.0,1.0,0.0,0.0,2023
Luca Langoni,ARG,"FW,MF",20.0,10.3,23.0,2.31,14.0,0.0,3.0,1.0,4.0,1.0,2.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,2023
Lucas Janson,ARG,"FW,MF",28.0,9.5,24.0,2.72,15.0,0.0,2.0,0.0,7.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,2023
Marcos Rojo,ARG,DF,32.0,9.0,3.0,0.34,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
